,NumOfProducts,HasCrCard,IsActiveMember,Gender,CustomerId,Surname,CreditScore,Age,Tenure,Balance,EstimatedSalary
6252,2,0,0,Male,15687492,Anderson,596,32,3,96709.07,41788.37
4684,2,1,1,Male,15736963,Herring,623,43,1,0.0,146379.3
1731,2,1,0,Female,15721730,Amechi,601,44,4,0.0,58561.31
4742,2,1,1,Male,15762134,Liang,506,59,8,119152.1,170679.74
4521,1,1,1,Female,15648898,Chuang,560,27,7,124995.98,114669.79
6340,2,1,1,Male,15659064,Salas,790,37,8,0.0,149418.41
576,1,1,0,Female,15761986,Obialo,439,32,3,138901.61,75685.97
5202,1,1,0,Female,15713354,Morrice,597,22,6,101528.61,70529.0
6363,1,1,0,Female,15593454,Lambert,678,40,4,113794.22,16618.76
439,1,1,1,Female,15690134,Hughes,464,42,3,85679.25,164104.74
2750,3,1,1,Female,15767474,Lorenzo,481,57,9,0.0,169719.35
7487,1,0,0,Female,15785367,McGuffog,651,56,4,0.0,84383.22
5272,1,1,0,Male,15587507,Feng,850,47,6,0.0,187391.02
5653,1,1,0,Female,15569764,Garner,687,41,2,154007.21,158408.23
3999,1,1,1,Male,15665062,Lucchese,696,19,1,110928.51,2766.63
6033,2,1,0,Female,15759966,Chiemenam,612,36,5,119799.27,159416.58
582,2,0,1,Female,15576352,Revell,586,57,3,0.0,6057.81
9930,2,0,1,Male,15713604,Rossi,425,40,9,166776.6,172646.88
7051,2,1,1,Male,15596797,Barnet,643,43,1,0.0,145764.4
8158,2,1,0,Female,15744127,Kosovich,641,37,2,0.0,3939.87
9896,1,1,1,Female,15589420,Osinachi,795,40,2,101891.1,183044.86
2249,2,1,1,Male,15727546,Olejuru,762,35,9,0.0,43075.7
4640,2,0,0,Female,15696373,Gill,687,44,9,0.0,103042.2
9485,1,1,0,Male,15656319,Toscano,850,37,4,88141.1,109659.12
4947,2,1,1,Female,15670354,Jen,753,62,6,0.0,136398.9
9920,1,0,1,Female,15673020,Smith,678,49,3,204510.94,738.88
1963,2,1,0,Male,15771139,Douglas,578,34,8,147487.23,66680.77
8243,2,0,1,Male,15572174,Mazzi,825,29,3,148874.01,71192.82
6590,2,1,1,Female,15674868,Wei,696,30,0,0.0,9002.8
8847,2,1,0,Male,15630244,Chu,457,40,10,134320.23,150757.35
321,1,1,1,Female,15678910,Ts'ai,680,30,8,141441.75,16278.97
2678,2,1,0,Female,15767793,Hsu,819,38,10,0.0,30498.7
4625,2,0,1,Female,15695499,Chinwemma,510,45,10,103821.47,77878.62
4949,2,0,0,Male,15786717,He,567,36,1,0.0,8555.73
8328,1,1,0,Male,15687171,Birch,638,34,5,146679.77,102179.86
3337,1,0,0,Male,15647385,Ch'iu,579,56,4,99340.83,4523.74
5589,1,0,0,Female,15588372,Kirsova,715,37,9,105489.31,143096.49
251,2,1,1,Female,15753754,Morrison,587,34,1,0.0,97932.68
3973,1,0,0,Male,15669281,Ch'iu,711,38,3,128718.78,114793.45
6630,2,1,1,Female,15726960,O'Brien,741,36,3,0.0,89804.83
5547,1,1,0,Male,15713845,Merrett,688,38,7,148045.68,175479.92
35,1,1,0,Female,15794171,Lombardo,475,45,0,134264.04,27822.99
8362,2,0,1,Male,15751912,Lilly,567,36,7,0.0,3896.08
1513,2,1,0,Male,15729040,Lamb,440,42,2,0.0,49826.68
9317,1,1,0,Male,15585249,Mironova,741,42,6,106036.52,194686.78
39,2,0,1,Male,15585768,Cameron,582,41,6,70349.48,178074.04
4819,1,0,1,Male,15683157,Waring,613,26,4,100446.57,149653.81
3465,2,0,0,Female,15763704,Docherty,692,43,2,69014.49,164621.43
1760,1,0,1,Male,15701121,Holt,521,38,5,110641.18,136507.69
2304,1,1,1,Female,15680141,Yuan,759,35,7,147936.42,106785.7
3723,2,1,1,Male,15710978,Palerma,715,42,2,88120.97,21333.22
8284,1,1,0,Female,15701741,Williams,711,39,3,152462.79,90305.97
4993,1,1,0,Female,15728912,Swanson,554,44,6,92436.86,126033.9
8127,1,1,0,Male,15623063,Taylor,651,35,8,110067.71,127678.95
3032,3,1,0,Female,15800061,Moretti,495,45,3,89158.94,135169.76
7938,1,0,0,Male,15807305,Watkins,805,39,2,0.0,166650.32
